ITR,6000
ROI_W:648,ROI_H:488
canny(GPU),0.400886
canny(CPU),0.186173
sobel(GPU),0.85822
sobel(CPU),0.784155
stream(GPU),1.07061
sobel(GPU)2,0.173762
